Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Garden Sub-Division,Karachi South,,Sindh,"29,937","15,546","14,390",0,0,0,"29,937","15,546","14,390","129,138","67,515","61,622",0,0,0,"129,138","67,515","61,622",23.18%,23.03%,23.35%,0.00%,0.00%,0.00%,23.18%,23.03%,23.35%,104,126,96,1,1,1,160,170,156,4,4,3,1,1,1,4,4,3,84.5,85.33,83.58,-,-,-,84.5,85.33,83.58,"29,937",278
Liyari Town,Karachi South,,Sindh,"79,836","38,653","41,183",0,0,0,"79,836","38,653","41,183","260,325","136,644","123,681",0,0,0,"260,325","136,644","123,681",30.67%,28.29%,33.30%,0.00%,0.00%,0.00%,30.67%,28.29%,33.30%,181,204,159,1,1,1,237,244,231,5,5,5,1,1,1,5,5,5,68.4,71.84,64.61,-,-,-,68.4,71.84,64.61,"79,836",502
Saddar Town,Karachi South,,Sindh,"7,656","3,907","3,749",0,0,0,"7,656","3,907","3,749","38,036","20,023","18,013",0,0,0,"38,036","20,023","18,013",20.13%,19.51%,20.81%,0.00%,0.00%,0.00%,20.13%,19.51%,20.81%,68,75,71,1,1,1,113,112,130,1,1,2,1,1,1,1,1,2,88.56,89.86,87.02,-,-,-,88.56,89.86,87.02,"7,656",78
Site Town,Karachi West,,Sindh,"137,012","70,464","66,543","41,183","21,704","19,475","95,829","48,760","47,068","310,810","163,254","147,548","76,890","40,560","36,326","233,920","122,694","111,222",44.08%,43.16%,45.10%,53.56%,53.51%,53.61%,40.97%,39.74%,42.32%,274,335,236,289,366,226,309,324,296,3,3,2,3,3,3,2,3,2,63.03,65.1,60.67,52.22,56.65,47.1,66.2,67.6,64.61,"137,012",568
Baldia Town,Karachi West,,Sindh,"80,945","40,712","40,232",0,0,0,"80,945","40,712","40,232","268,877","138,986","129,889",0,0,0,"268,877","138,986","129,889",30.10%,29.29%,30.97%,0.00%,0.00%,0.00%,30.10%,29.29%,30.97%,175,209,146,1,1,1,230,257,214,1,1,1,1,1,1,1,1,1,76.07,77.69,74.25,-,-,-,76.07,77.69,74.25,"80,945",504
Orangi  Town,Karachi West,,Sindh,"80,961","39,629","41,332",0,0,0,"80,961","39,629","41,332","188,891","100,094","88,796",0,0,0,"188,891","100,094","88,796",42.86%,39.59%,46.55%,0.00%,0.00%,0.00%,42.86%,39.59%,46.55%,269,293,249,1,1,1,320,321,315,2,2,3,1,1,1,3,2,3,60.76,64.93,55.98,-,-,-,60.76,64.93,55.98,"80,961",505
Kandh Kot ,Kashmore ,,Sindh,"103,870","51,223","52,645","83,027","42,292","40,733","20,843","8,931","11,912","146,864","76,830","70,031","100,725","54,846","45,876","46,139","21,984","24,155",70.73%,66.67%,75.17%,82.43%,77.11%,88.79%,45.17%,40.63%,49.31%,513,531,478,532,531,527,332,331,327,3,3,1,3,3,3,2,1,2,37.91,47.17,28.06,26.56,34.78,17.46,56.64,68.67,44.64,"103,870",549
Kashmore ,Kashmore ,,Sindh,"115,554","52,689","62,864","101,396","46,068","55,327","14,158","6,621","7,537","167,592","84,444","83,147","136,184","68,823","67,360","31,408","15,621","15,787",68.95%,62.40%,75.61%,74.46%,66.94%,82.14%,45.08%,42.39%,47.74%,497,506,485,498,489,482,331,338,321,1,1,2,2,2,2,1,2,1,32.65,41.95,23.22,26.69,35.44,17.82,54.78,65.96,43.36,"115,554",556
Tangwani ,Kashmore ,,Sindh,"84,812","39,516","45,295","77,598","36,007","41,590","7,214","3,509","3,705","120,414","62,488","57,925","107,564","55,869","51,694","12,850","6,619","6,231",70.43%,63.24%,78.20%,72.14%,64.45%,80.45%,56.14%,53.01%,59.46%,510,515,507,476,472,467,365,369,362,2,2,3,1,1,1,3,3,3,36.95,46.94,26.49,36,45.66,25.8,46.56,60.54,33.11,"84,812",519
Baldia ,Keamari,,Sindh,"123,704","61,931","61,765",0,0,0,"123,704","61,931","61,765","278,900","145,579","133,311",0,0,0,"278,900","145,579","133,311",44.35%,42.54%,46.33%,0.00%,0.00%,0.00%,44.35%,42.54%,46.33%,277,329,246,1,1,1,327,339,314,4,4,4,1,1,1,4,4,4,64.25,68.41,59.58,-,-,-,64.25,68.41,59.58,"123,704",562
Keamari ,Keamari,,Sindh,"54,643","26,991","27,647",0,0,0,"54,643","26,991","27,647","133,216","70,016","63,194",0,0,0,"133,216","70,016","63,194",41.02%,38.55%,43.75%,0.00%,0.00%,0.00%,41.02%,38.55%,43.75%,247,281,226,1,1,1,310,317,304,2,2,3,1,1,1,2,2,3,55.61,61.25,48.91,-,-,-,55.61,61.25,48.91,"54,643",427
Mauripur ,Keamari,,Sindh,"26,471","13,240","13,231",0,0,0,"26,471","13,240","13,231","64,111","33,523","30,588",0,0,0,"64,111","33,523","30,588",41.29%,39.50%,43.26%,0.00%,0.00%,0.00%,41.29%,39.50%,43.26%,251,291,223,1,1,1,314,320,302,3,3,2,1,1,1,3,3,2,52.76,58.26,46.5,-,-,-,52.76,58.26,46.5,"26,471",251
Site Sub-Division,Keamari,,Sindh,"46,837","23,655","23,182",0,0,0,"46,837","23,655","23,182","127,870","67,753","60,116",0,0,0,"127,870","67,753","60,116",36.63%,34.91%,38.56%,0.00%,0.00%,0.00%,36.63%,34.91%,38.56%,217,251,197,1,1,1,283,306,264,1,1,1,1,1,1,1,1,1,68.48,73.33,62.54,-,-,-,68.48,73.33,62.54,"46,837",397
Faiz Ganj ,Khairpur,,Sindh,"31,348","12,653","18,695","26,890","10,917","15,973","4,458","1,736","2,722","77,374","39,053","38,321","62,346","31,517","30,829","15,028","7,536","7,492",40.51%,32.40%,48.79%,43.13%,34.64%,51.81%,29.66%,23.04%,36.33%,245,234,258,213,203,219,226,171,256,2,2,2,1,1,1,1,1,2,46.43,59.59,32.96,43.83,56.64,30.67,56.2,70.71,41.5,"31,348",292
Gambat ,Khairpur,,Sindh,"41,335","17,843","23,489","29,498","12,632","16,864","11,837","5,211","6,625","91,540","46,695","44,842","59,284","30,455","28,827","32,256","16,240","16,015",45.16%,38.21%,52.38%,49.76%,41.48%,58.50%,36.70%,32.09%,41.37%,284,276,285,255,255,266,284,282,286,5,5,5,6,6,6,5,5,3,52.89,64.35,41.13,45.9,58.43,33,64.1,73.9,54.11,"41,335",368
Khairpur ,Khairpur,,Sindh,"52,882","21,921","30,958","31,604","13,071","18,531","21,278","8,850","12,427","142,344","70,762","71,579","70,811","35,595","35,214","71,533","35,167","36,365",37.15%,30.98%,43.25%,44.63%,36.72%,52.62%,29.75%,25.17%,34.17%,220,221,222,218,217,223,228,204,237,1,1,1,2,3,3,2,2,1,59.37,70.27,48.31,47.99,60.29,35.52,68.57,78.35,58.65,"52,882",421
Kingri ,Khairpur,,Sindh,"58,741","25,403","33,333","43,598","18,392","25,201","15,143","7,011","8,132","122,030","61,661","60,363","86,642","43,641","42,995","35,388","18,020","17,368",48.14%,41.20%,55.22%,50.32%,42.14%,58.61%,42.79%,38.91%,46.82%,308,315,305,258,263,268,318,318,316,7,7,7,7,7,7,6,6,6,49.04,60.82,36.87,42.7,55.55,29.63,64.01,72.97,54.43,"58,741",444
Kot Diji ,Khairpur,,Sindh,"58,423","26,039","32,382","44,594","19,848","24,745","13,829","6,191","7,637","125,424","65,204","60,218","95,538","49,905","45,632","29,886","15,299","14,586",46.58%,39.93%,53.77%,46.68%,39.77%,54.23%,46.27%,40.47%,52.36%,293,297,295,232,241,228,335,330,336,6,6,6,5,5,4,7,7,7,45.29,56.85,33.3,44.59,57.05,31.62,47.45,56.21,38.44,"58,423",443
Thari Meer Wah,Khairpur,,Sindh,"52,104","22,047","30,054","40,830","17,338","23,489","11,274","4,709","6,565","121,907","61,972","59,930","90,860","46,177","44,678","31,047","15,795","15,252",42.74%,35.58%,50.15%,44.94%,37.55%,52.57%,36.31%,29.81%,43.04%,267,256,267,221,222,222,281,260,300,4,4,3,3,4,2,4,4,5,51.22,63.6,38.34,47.78,60.47,34.54,60.34,71.99,48.37,"52,104",416
Nara ,Khairpur,,Sindh,"34,529","15,770","18,759","27,913","12,888","15,025","6,616","2,882","3,734","59,075","30,875","28,200","45,630","24,012","21,618","13,445","6,863","6,582",58.45%,51.08%,66.52%,61.17%,53.67%,69.50%,49.21%,41.99%,56.73%,398,404,395,356,367,346,345,337,353,8,8,8,8,8,8,8,8,8,34.47,43.64,24.64,32.44,40.81,23.41,40.79,52.53,28.43,"34,529",316
Sobho Dero ,Khairpur,,Sindh,"38,004","15,149","22,853","27,332","10,679","16,653","10,672","4,470","6,200","89,217","45,091","44,124","59,232","29,776","29,456","29,985","15,315","14,668",42.60%,33.60%,51.79%,46.14%,35.86%,56.54%,35.59%,29.19%,42.27%,265,240,281,230,211,248,276,256,295,3,3,4,4,2,5,3,3,4,49.88,62.84,36.71,46.96,60.42,33.36,55.29,67.29,42.97,"38,004",343
Korangi Town,Korangi,,Sindh,"176,081","91,842","84,205",0,0,0,"176,081","91,842","84,205","444,516","231,539","212,937",0,0,0,"444,516","231,539","212,937",39.61%,39.67%,39.54%,0.00%,0.00%,0.00%,39.61%,39.67%,39.54%,236,294,202,1,1,1,300,322,272,4,4,4,1,1,1,4,4,4,70.93,72.62,69.01,-,-,-,70.93,72.62,69.01,"176,081",578
Landhi Town,Korangi,,Sindh,"55,002","28,980","26,014",0,0,0,"55,002","28,980","26,014","185,109","96,918","88,183",0,0,0,"185,109","96,918","88,183",29.71%,29.90%,29.50%,0.00%,0.00%,0.00%,29.71%,29.90%,29.50%,171,214,133,1,1,1,227,263,203,3,3,3,1,1,1,3,3,3,84.6,85.68,83.41,-,-,-,84.6,85.68,83.41,"55,002",430
Model Colony ,Korangi,,Sindh,"21,656","11,571","10,084",0,0,0,"21,656","11,571","10,084","108,783","57,356","51,422",0,0,0,"108,783","57,356","51,422",19.91%,20.17%,19.61%,0.00%,0.00%,0.00%,19.91%,20.17%,19.61%,63,85,61,1,1,1,111,122,108,1,1,1,1,1,1,1,1,1,86.85,88.07,85.49,-,-,-,86.85,88.07,85.49,"21,656",212
Shah Faisal Town,Korangi,,Sindh,"38,462","20,727","17,727",0,0,0,"38,462","20,727","17,727","166,295","88,727","77,556",0,0,0,"166,295","88,727","77,556",23.13%,23.36%,22.86%,0.00%,0.00%,0.00%,23.13%,23.36%,22.86%,103,133,93,1,1,1,159,176,152,2,2,2,1,1,1,2,2,2,89.6,91.09,87.97,-,-,-,89.6,91.09,87.97,"38,462",346
Baqrani ,Larkana,,Sindh,"45,155","21,078","24,076","39,919","18,734","21,184","5,236","2,344","2,892","90,979","48,847","42,131","78,018","41,966","36,051","12,961","6,881","6,080",49.63%,43.15%,57.15%,51.17%,44.64%,58.76%,40.40%,34.06%,47.57%,325,333,319,267,284,272,306,296,319,4,4,4,3,3,3,4,4,4,46.38,56.72,35.15,46.29,56.37,35.31,46.91,58.71,34.24,"45,155",385
Dokri ,Larkana,,Sindh,"38,391","17,903","20,488","30,261","14,154","16,107","8,130","3,749","4,381","82,991","43,569","39,422","61,445","32,409","29,036","21,546","11,160","10,386",46.26%,41.09%,51.97%,49.25%,43.67%,55.47%,37.73%,33.59%,42.18%,291,311,283,252,277,241,292,291,294,3,3,3,2,2,1,3,3,3,49.19,58.92,38.87,44.38,54.19,33.97,60.96,70.52,50.85,"38,391",345
Larkana ,Larkana,,Sindh,"117,118","55,741","61,371","61,167","29,211","31,954","55,951","26,530","29,417","270,695","145,054","125,635","106,856","57,268","49,586","163,839","87,786","76,049",43.27%,38.43%,48.85%,57.24%,51.01%,64.44%,34.15%,30.22%,38.68%,270,278,259,320,334,303,266,267,266,2,2,1,4,4,4,2,2,2,58.76,67.93,48.62,44.08,54.45,32.62,66.8,75.3,57.39,"117,118",557
Rato Dero ,Larkana,,Sindh,"52,289","23,450","28,839","39,466","17,828","21,638","12,823","5,622","7,201","122,422","64,312","58,109","80,360","42,349","38,010","42,062","21,963","20,099",42.71%,36.46%,49.63%,49.11%,42.10%,56.93%,30.49%,25.60%,35.83%,266,261,266,251,262,252,233,209,253,1,1,2,1,1,2,1,1,1,58.93,69.6,47.52,53.9,64.74,42.25,67.67,78.11,56.61,"52,289",418
Airport Sub-Division,Malir,,Sindh,"16,921","8,610","8,311",0,0,0,"16,921","8,610","8,311","65,972","33,744","32,228",0,0,0,"65,972","33,744","32,228",25.65%,25.52%,25.79%,0.00%,0.00%,0.00%,25.65%,25.52%,25.79%,124,174,113,1,1,1,189,208,175,1,1,1,1,1,1,4,4,4,80.94,83.79,77.91,-,-,-,80.94,83.79,77.91,"16,921",171
Bin Qasim Town,Malir,,Sindh,"40,895","20,686","20,208","40,895","20,686","20,208",0,0,0,"91,640","47,934","43,705","91,640","47,934","43,705",0,0,0,44.63%,43.16%,46.24%,44.63%,43.16%,46.24%,0.00%,0.00%,0.00%,280,334,243,217,271,190,1,1,1,4,4,4,4,4,4,1,1,1,62.19,68.22,55.1,62.19,68.22,55.1,-,-,-,"40,895",363
Gadap Town,Malir,,Sindh,"10,911","5,445","5,465","10,911","5,445","5,465",0,0,0,"27,326","14,266","13,059","27,326","14,266","13,059",0,0,0,39.93%,38.17%,41.85%,39.93%,38.17%,41.85%,0.00%,0.00%,0.00%,241,275,217,196,230,166,1,1,1,3,3,3,3,3,3,1,1,1,58.94,64.89,52.43,58.94,64.89,52.43,-,-,-,"10,911",108
Ibrahim Hydri ,Malir,,Sindh,"182,139","92,800","89,328","101,273","52,737","48,534","80,866","40,063","40,794","401,431","208,428","192,987","197,402","102,944","94,453","204,029","105,484","98,534",45.37%,44.52%,46.29%,51.30%,51.23%,51.38%,39.63%,37.98%,41.40%,287,346,245,269,337,217,301,315,287,5,5,5,5,5,5,6,6,6,57.91,62.6,52.33,52.06,55.75,47.71,63.5,69.14,56.78,"182,139",579
Murad Memon ,Malir,,Sindh,"34,552","17,384","17,167","16,639","8,330","8,309","17,913","9,054","8,858","100,172","51,245","48,925","42,145","21,942","20,203","58,027","29,303","28,722",34.49%,33.92%,35.09%,39.48%,37.96%,41.13%,30.87%,30.90%,30.84%,202,244,176,189,227,161,241,272,213,2,2,2,2,2,2,5,5,5,71.88,76.4,66.94,63.03,69.73,55.6,77.55,80.71,74.12,"34,552",317
Shah Mureed ,Malir,,Sindh,"6,155","3,224","2,931","6,155","3,224","2,931",0,0,0,"10,782","5,750","5,032","10,782","5,750","5,032",0,0,0,57.09%,56.07%,58.25%,57.09%,56.07%,58.25%,0.00%,0.00%,0.00%,387,453,329,316,391,264,1,1,1,6,6,6,6,6,6,1,1,1,49.7,56.51,41.91,49.7,56.51,41.91,-,-,-,"6,155",51
Hala ,Matiari,,Sindh,"36,154","15,805","20,347","23,884","10,885","12,999","12,270","4,920","7,348","82,829","41,675","41,152","46,516","23,547","22,969","36,313","18,128","18,183",43.65%,37.92%,49.44%,51.35%,46.23%,56.59%,33.79%,27.14%,40.41%,271,272,264,271,299,250,265,229,278,1,1,1,2,2,2,2,2,2,52.58,62.53,42.47,44.92,56.03,33.58,61.34,69.99,52.59,"36,154",330
Matiari ,Matiari,,Sindh,"67,801","32,274","35,526","62,290","29,758","32,531","5,511","2,516","2,995","120,574","62,121","58,452","105,323","54,193","51,129","15,251","7,928","7,323",56.23%,51.95%,60.78%,59.14%,54.91%,63.63%,36.14%,31.74%,40.90%,378,419,350,334,378,298,280,279,285,3,3,3,3,3,3,3,3,3,39.64,49.95,28.89,36.56,46.81,25.9,59.8,70.23,48.7,"67,801",473
Saeedabad ,Matiari,,Sindh,"25,735","11,345","14,388","24,063","10,677","13,384","1,672",668,"1,004","55,955","28,040","27,913","49,283","24,778","24,503","6,672","3,262","3,410",45.99%,40.46%,51.55%,48.83%,43.09%,54.62%,25.06%,20.48%,29.44%,289,308,279,247,270,232,183,130,202,2,2,2,1,1,1,1,1,1,48.11,59.83,36.14,44.7,56.7,32.46,70.3,80.22,60.16,"25,735",246
Digri ,Mirpur Khas,,Sindh,"36,068","15,817","20,251","28,091","12,162","15,929","7,977","3,655","4,322","72,144","38,443","33,701","48,116","25,537","22,579","24,028","12,906","11,122",49.99%,41.14%,60.09%,58.38%,47.63%,70.55%,33.20%,28.32%,38.86%,328,313,343,326,307,362,263,245,267,2,2,2,4,4,4,5,5,5,46.1,56.34,34.97,37,48.47,24.63,61.77,69.77,52.98,"36,068",329
Hussain Bux Muree,Mirpur Khas,,Sindh,"33,051","14,727","18,324","33,051","14,727","18,324",0,0,0,"55,516","29,549","25,967","55,516","29,549","25,967",0,0,0,59.53%,49.84%,70.57%,59.53%,49.84%,70.57%,0.00%,0.00%,0.00%,408,394,438,339,328,364,1,1,1,6,6,6,5,5,5,1,1,1,33.26,44.9,20.48,33.26,44.9,20.48,-,-,-,"33,051",303
Jhudo ,Mirpur Khas,,Sindh,"41,011","19,281","21,729","34,942","16,421","18,520","6,069","2,860","3,209","73,549","40,536","33,012","53,879","29,809","24,069","19,670","10,727","8,943",55.76%,47.57%,65.82%,64.85%,55.09%,76.95%,30.85%,26.66%,35.88%,375,374,385,400,380,434,240,224,254,5,5,4,7,7,7,4,4,4,38.59,48.85,27.14,27.43,38.56,15.05,63.44,71.74,54.16,"41,011",365
Kot Ghulam Muhammad ,Mirpur Khas,,Sindh,"57,595","25,177","32,418","55,546","24,295","31,251","2,049",882,"1,167","103,624","55,313","48,310","95,493","51,086","44,406","8,131","4,227","3,904",55.58%,45.52%,67.10%,58.17%,47.56%,70.38%,25.20%,20.87%,29.89%,372,353,402,325,306,358,186,139,206,4,4,5,3,3,3,3,3,3,41.19,51.98,29.43,38.27,49.42,26.1,65.46,73.39,56.93,"57,595",439
Mirpur Khas ,Mirpur Khas,,Sindh,"15,092","7,321","7,770","1,899",886,"1,013","13,193","6,435","6,757","76,801","40,283","36,516","6,046","3,145","2,901","70,755","37,138","33,615",19.65%,18.17%,21.28%,31.41%,28.17%,34.92%,18.65%,17.33%,20.10%,61,57,76,142,165,127,88,70,115,1,1,1,1,1,1,2,2,2,74.63,79.62,69.16,60.52,69.08,51.05,75.67,80.39,70.48,"15,092",150
Shuja Abad ,Mirpur Khas,,Sindh,"29,500","12,948","16,552","27,184","11,850","15,334","2,316","1,098","1,218","55,962","29,497","26,465","49,469","26,081","23,388","6,493","3,416","3,077",52.71%,43.90%,62.54%,54.95%,45.44%,65.56%,35.67%,32.14%,39.58%,352,340,365,305,294,314,278,283,273,3,3,3,2,2,2,6,6,6,39.46,50.35,27.57,35.59,46.8,23.37,64.69,73.25,55.19,"29,500",275
Sindhri ,Mirpur Khas,,Sindh,"54,830","25,227","29,600","51,097","23,459","27,635","3,733","1,768","1,965","86,479","46,869","39,606","79,695","43,142","36,549","6,784","3,727","3,057",63.40%,53.82%,74.74%,64.12%,54.38%,75.61%,55.03%,47.44%,64.28%,449,439,470,389,374,418,362,353,368,7,7,7,6,6,6,7,7,7,31.99,42.8,20.07,32.32,43.07,20.46,28.12,39.62,15.45,"54,830",429
Bhiria ,Naushahro Feroze,,Sindh,"42,434","19,998","22,434","37,664","17,843","19,819","4,770","2,155","2,615","100,142","50,721","49,418","79,167","40,239","38,925","20,975","10,482","10,493",42.37%,39.43%,45.40%,47.58%,44.34%,50.92%,22.74%,20.56%,24.92%,263,290,241,241,282,212,150,131,170,5,5,5,4,4,4,1,1,1,58.14,68.31,47.61,54.88,65.64,43.69,69,77.3,60.53,"42,434",370
Kandiaro ,Naushahro Feroze,,Sindh,"43,216","19,575","23,639","40,151","18,206","21,943","3,065","1,369","1,696","111,807","56,579","55,225","98,895","50,300","48,592","12,912","6,279","6,633",38.65%,34.60%,42.80%,40.60%,36.19%,45.16%,23.74%,21.80%,25.57%,228,249,221,200,214,185,168,156,174,3,2,3,2,2,2,3,3,3,64.04,74.34,53.42,63.14,73.6,52.31,69.94,79.26,60.62,"43,216",375
Mehrab Pur ,Naushahro Feroze,,Sindh,"28,791","12,734","16,057","23,275","10,188","13,087","5,516","2,546","2,970","84,223","42,466","41,757","60,507","30,548","29,959","23,716","11,918","11,798",34.18%,29.99%,38.45%,38.47%,33.35%,43.68%,23.26%,21.36%,25.17%,200,215,196,182,196,174,161,147,173,1,1,1,1,1,1,2,2,2,60.92,71.4,50.16,55.87,68.17,43.27,71.53,78.16,64.69,"28,791",269
Moro ,Naushahro Feroze,,Sindh,"48,179","22,707","25,471","36,456","17,256","19,199","11,723","5,451","6,272","125,418","63,877","61,539","81,402","41,737","39,664","44,016","22,140","21,875",38.41%,35.55%,41.39%,44.79%,41.34%,48.40%,26.63%,24.62%,28.67%,224,255,214,220,253,203,203,199,195,2,3,2,3,3,3,5,5,4,53.87,64.42,42.89,47.91,59.48,35.82,64.45,73.23,55.38,"48,179",403
Naushahro Feroze ,Naushahro Feroze,,Sindh,"52,043","24,482","27,559","38,818","18,632","20,185","13,225","5,850","7,374","124,569","63,294","61,272","74,857","38,199","36,657","49,712","25,095","24,615",41.78%,38.68%,44.98%,51.86%,48.78%,55.06%,26.60%,23.31%,29.96%,255,282,234,277,316,236,202,174,207,4,4,4,5,5,5,4,4,5,51.24,61.85,40.23,42.42,53.12,31.29,63.45,74,52.57,"52,043",415
Jam Nawaz Ali ,Sanghar,,Sindh,"35,270","15,165","20,101","31,782","13,736","18,043","3,488","1,429","2,058","56,353","28,613","27,736","48,207","24,491","23,713","8,146","4,122","4,023",62.59%,53.00%,72.47%,65.93%,56.09%,76.09%,42.82%,34.67%,51.16%,440,429,451,414,392,425,319,303,333,6,4,6,5,3,6,6,6,6,31.67,43.05,20.06,29.49,40.6,18.13,42.7,55.51,29.75,"35,270",324
Khipro ,Sanghar,,Sindh,"73,502","32,668","40,834","66,735","29,793","36,942","6,767","2,875","3,892","120,007","61,422","58,585","102,008","52,308","49,700","17,999","9,114","8,885",61.25%,53.19%,69.70%,65.42%,56.96%,74.33%,37.60%,31.54%,43.80%,427,431,428,403,400,403,291,278,305,5,5,5,4,4,4,5,4,5,37.04,46.19,27.4,32.81,42.17,22.95,57.46,65.66,48.87,"73,502",488
Sanghar ,Sanghar,,Sindh,"94,690","43,060","51,630","86,699","39,577","47,122","7,991","3,483","4,508","157,376","80,747","76,629","130,302","67,173","63,129","27,074","13,574","13,500",60.17%,53.33%,67.38%,66.54%,58.92%,74.64%,29.52%,25.66%,33.39%,414,432,406,422,421,408,225,211,234,4,6,4,6,6,5,1,1,1,40,48.95,30.63,32.52,41.73,22.8,67.64,76.27,58.94,"94,690",537
Shahdadpur ,Sanghar,,Sindh,"82,173","36,621","45,549","59,577","26,391","33,185","22,596","10,230","12,364","165,877","84,181","81,693","101,501","51,967","49,533","64,376","32,214","32,160",49.54%,43.50%,55.76%,58.70%,50.78%,67.00%,35.10%,31.76%,38.45%,323,337,310,330,333,327,273,280,263,1,1,1,1,1,1,4,5,4,50.69,61.16,39.93,38.8,51.6,25.61,66.29,73.75,58.65,"82,173",510
Sinjhoro ,Sanghar,,Sindh,"66,959","29,410","37,544","60,762","26,704","34,053","6,197","2,706","3,491","114,063","57,514","56,544","95,947","48,563","47,379","18,116","8,951","9,165",58.70%,51.14%,66.40%,63.33%,54.99%,71.87%,34.21%,30.23%,38.09%,402,405,392,380,379,381,268,268,262,3,3,3,2,2,2,3,3,3,42.02,52.14,31.53,37.73,48.04,26.98,62.1,71.6,52.51,"66,959",471
Tando Adam ,Sanghar,,Sindh,"66,101","29,835","36,261","50,203","22,430","27,769","15,898","7,405","8,492","126,168","63,513","62,650","77,453","38,895","38,554","48,715","24,618","24,096",52.39%,46.97%,57.88%,64.82%,57.67%,72.03%,32.63%,30.08%,35.24%,348,370,326,399,404,383,259,264,245,2,2,2,3,5,3,2,2,2,50.81,58.55,42.78,35.75,45.55,25.65,69.14,74.24,63.82,"66,101",468
Daur ,Shaheed Benazirabad,,Sindh,"83,166","33,561","49,605","72,239","28,632","43,607","10,927","4,929","5,998","169,291","85,635","83,656","135,121","68,385","66,736","34,170","17,250","16,920",49.13%,39.19%,59.30%,53.46%,41.87%,65.34%,31.98%,28.57%,35.45%,319,288,336,287,261,312,252,250,249,3,3,3,3,3,4,4,2,4,41.36,54.06,28.27,38.22,51.22,24.8,53.1,64.68,41.22,"83,166",514
Daulat Pur,Shaheed Benazirabad,,Sindh,"64,178","27,613","36,563","59,458","25,445","34,011","4,720","2,168","2,552","126,280","64,734","61,544","110,715","56,966","53,747","15,565","7,768","7,797",50.82%,42.66%,59.41%,53.70%,44.67%,63.28%,30.32%,27.91%,32.73%,334,330,338,291,285,294,231,236,227,4,4,4,4,4,3,1,1,2,47.11,57.32,36.42,45.17,55.3,34.51,59.37,70.31,48.29,"64,178",461
Nawabshah ,Shaheed Benazirabad,,Sindh,"51,825","24,595","27,228","18,496","7,728","10,767","33,329","16,867","16,461","142,724","72,383","70,339","38,129","19,452","18,676","104,595","52,931","51,663",36.31%,33.98%,38.71%,48.51%,39.73%,57.65%,31.86%,31.87%,31.86%,215,245,198,246,239,259,249,281,220,1,1,1,2,2,2,2,4,1,62.44,70.06,54.61,41.67,55.26,27.55,68.91,74.71,62.97,"51,825",414
Sakrand ,Shaheed Benazirabad,,Sindh,"60,047","25,383","34,663","53,287","22,144","31,142","6,760","3,239","3,521","135,129","68,894","66,234","113,929","58,174","55,754","21,200","10,720","10,480",44.44%,36.84%,52.33%,46.77%,38.07%,55.86%,31.89%,30.21%,33.60%,279,265,284,235,228,243,251,266,235,2,2,2,1,1,1,3,3,3,52.84,62.96,42.3,49.9,60.74,38.64,66.57,73.34,59.47,"60,047",448
Garhi Yasin ,Shikarpur,,Sindh,"68,010","30,576","37,430","65,251","29,562","35,685","2,759","1,014","1,745","112,231","55,611","56,616","101,597","50,522","51,071","10,634","5,089","5,545",60.60%,54.98%,66.11%,64.23%,58.51%,69.87%,25.95%,19.93%,31.47%,419,444,388,390,414,349,194,118,216,2,2,3,1,1,1,1,1,1,42.76,51.4,34.03,39.14,47.73,30.42,68.25,77.79,58.93,"68,010",475
Khanpur-I,Shikarpur,,Sindh,"106,433","56,087","50,345","104,673","55,399","49,273","1,760",688,"1,072","137,680","75,381","62,298","132,534","72,931","59,602","5,146","2,450","2,696",77.30%,74.40%,80.81%,78.98%,75.96%,82.67%,34.20%,28.08%,39.76%,557,562,524,524,526,488,267,240,274,4,4,4,4,4,4,3,3,3,29.41,36.64,21.92,27.21,34.08,20.08,60.75,73.7,47.72,"106,433",550
Lakhi ,Shikarpur,,Sindh,"64,410","29,173","35,234","55,504","25,538","29,963","8,906","3,635","5,271","104,820","51,440","53,375","84,217","41,726","42,486","20,603","9,714","10,889",61.45%,56.71%,66.01%,65.91%,61.20%,70.52%,43.23%,37.42%,48.41%,429,456,387,412,437,360,324,313,323,3,3,2,2,2,2,4,4,4,49.43,60.06,38.69,44.76,55.78,33.52,67.55,77.09,58.28,"64,410",462
